Token Name,Contract Address,Creator ,Number of Tokens Minted,token_bougth_start,quantity_adjusted_start,average_adjusted_start,tokens_start,tokens_bought_2_weeks,quantity_adjusted_2,average_adjusted_2,tokens_bought_month,quantity_adjusted_month,average_adjusted_month,Access & Utility,Interactive Experience ,Notes,Website,Art,Discord Channel
Sorare,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,0xfe004ded329be0dc8776bcb7fb56f9edf7ec8c4d,N/A,7/26/19,384.0375,384.0375,1,1669,41227.28716,45.49511421,4898,162899.471,41.75495347,0,1,1.) No token drops or access 2.) Interactive game ,https://sorare.com/,0,1
ON1 Force,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,0x281302d3752b21beed7203443e9d500b5183738f,7777,8/15/21,204758.0077,2178.276678,94,12406,113832893.7,10937.49865,13814,129441163.7,10541.79719,1,1,1.) Exclusive access to merch and discord 2.) Cooperative RPG,https://www.0n1force.com/,0,1
PUNKS Comic,0xd0A07a76746707f6D6d36D9d5897B14a8e9ED493,0x8c685c44facb8bf246fcb0e383cca4bd46634bf8,N/A,5/11/21,5347.556038,1336.88901,4,25,17575.64684,633.3964159,549,451746.1704,652.6495834,1,1,1.) Access to comic book 2.) Burning and staking,https://punkscomic.com/,0,1
Pudgy Penguins ,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0xe9da256a28630efdc637bfd4c65f0887be1aeda8,8888,6/12/21,2.842332403,2.842332403,1,88,1557.818467,21.65761706,2664,236701.1886,35.73720839,1,0,1.) Access to event 2.) No interactive element,https://www.pudgypenguins.io/,1,1
ZED RUN,0xA5F1Ea7DF861952863dF2e8d1312f7305dabf215,0x5bAF69e0C9b4b54258A68c0f1ABF896b240F62F0,N/A,3/15/21,17.9321,17.9321,1,753,876052.5468,929.8700183,3959,4794320.507,1131.089739,0,1,1.) No access to any events 2.) Race horses against each other ,https://zed.run/,0,0
Fidenza by Tyler ,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,0x96dc73c8b5969608c77375f085949744b5177660,999,6/11/21,427558.5214,1549.125078,276,650,2884214.287,9018.926375,709,3876769.714,13345.91613,0,0,Art ,https://www.artblocks.io/project/78,0,0
Hashmasks ,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,0x2d2502becc9b6e01220ca3101e52cf1a76e16c39,16384,1/29/21,20773.46886,532.6530477,39,5401,19216031.41,3242.113024,8795,35557224.16,4057.098548,0,1,1.) No access 2.) Ability to name smart contract ,https://www.thehashmasks.com/,1,1
Bored Ape Kennel Club ,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,0xaf62311ee2224fed4d3884a1793b4c50b86f4462,10000,6/18/21,108070.5402,1367.981522,79,3266,11160433.2,2936.140119,5090,16182604.95,2596.971226,0,0,Art,,1,1
CyberKongz ,0x57a204AA1042f6E66DD7730813f4024114d74f37,0x000000048797808be86aa9786c1f402671192d6b,1000,4/17/21,25243.51235,4207.252058,6,55,166475.8378,2550.761811,104,254651.0044,1997.344521,0,1,2.) Token money generated to add characteristics to NFT ,https://www.cyberkongz.com/,1,1
My Curio Cards ,0x73DA73EF3a6982109c4d5BDb0dB9dd3E3783f313,0x5af3e0472315ec9a6e8b101c0a29da33a575bf36,30,3/28/21,9938.179124,342.6958319,29,1253,482545.742,334.667625,1477,560669.9002,353.1104958,0,0,Art,https://curio.cards/,1,1
